Seed,Block,Notes
granola alternative,"01_Alternatives_Own,02_VS_Own",Top competitor — highest intent
fireflies alternative,"01_Alternatives_Own,02_VS_Own",Popular tool — large search volume
otter alternative,"01_Alternatives_Own,02_VS_Own",Otter.ai — well-known brand
fathom alternative,"01_Alternatives_Own,02_VS_Own",Fathom video — growing competitor
tldv alternative,"01_Alternatives_Own,02_VS_Own",tl;dv — EU privacy-focused users
ai meeting notes,"03_Solutions_Own,06_Guides_Own,07_Blog_Own",Core product keyword
meeting transcription app,"03_Solutions_Own,12_Tools_Own",High volume transactional
ai notetaker,"03_Solutions_Own,07_Blog_Own",Generic + branded searches
meeting recorder,"03_Solutions_Own,04_For_Own,05_UseCases_Own",Broad — filter by KD
meeting summary ai,"06_Guides_Own,08_Templates_Own",Informational + template intent
zoom meeting notes,"06_Guides_Own,05_UseCases_Own,11_Integrations_Own",Platform-specific
google meet transcription,"06_Guides_Own,11_Integrations_Own",Platform-specific
local ai meeting,"03_Solutions_Own,07_Blog_Own,18_AEO_Questions",Privacy angle — unique USP
private meeting notes,"03_Solutions_Own,07_Blog_Own",Privacy-conscious users
action items from meeting,"08_Templates_Own,12_Tools_Own,09_FAQ_Own",High intent tool keyword
meeting minutes app,"03_Solutions_Own,08_Templates_Own",Classic term
offline meeting recorder,"03_Solutions_Own,09_FAQ_Own",USP keyword — no internet needed
speech to text meeting,"10_Dictionary_Own,18_AEO_Questions",AEO / definition intent
meeting notes for sales,"04_For_Own,05_UseCases_Own",High business value segment
ai meeting assistant,"03_Solutions_Own,07_Blog_Own,18_AEO_Questions",Core brand category
